year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2015,1000000,1,2,0,133000,7,15.4,120,1,2179
2017,550000,0,1,0,50000,5,20.85,83.14,1,1197
2017,350000,0,1,0,90000,5,17.8,76.8,1,1199
2009,150000,0,2,0,110000,5,20.36,78.9,1,1197
2010,215000,1,3,0,120000,5,19.3,73.9,1,1248
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2017,680000,0,1,0,13500,5,17,121.36,1,1497
2009,150000,0,1,0,77000,5,17.92,62.1,1,1086
2010,210000,0,1,0,200000,5,17.5,85.8,1,1197
2008,120000,0,3,0,70000,5,19.7,46.3,1,796
2014,620000,1,1,0,130000,7,20.77,88.8,1,1248
2016,525000,0,1,0,45000,5,18.9,82,1,1197
2019,1225000,1,1,0,6544,5,20,115,1,1497
2005,285000,0,2,1,80000,5,9,218,1,2997
2014,1100000,1,1,0,120000,8,12.99,100.6,1,2494
2017,580000,0,1,1,30000,5,17.36,81.86,1,1197
2017,339000,0,1,0,25000,5,20.3,68.05,1,998
2014,240000,0,1,0,70000,5,21.1,55.2,1,814
1997,70000,0,2,0,100000,5,17.3,60,1,993
2010,300000,1,1,0,60000,5,18.3,147.9,1,1991
2019,700000,1,1,0,10000,5,24,73.97,1,1186
2015,380000,1,2,0,120000,5,21.03,65,1,1461
2019,850000,1,1,0,10000,5,22.54,88.76,1,1396
2017,385000,0,1,0,30000,5,20.63,67.06,1,1198
2015,2500000,1,1,1,13500,5,14.74,270.9,-1,2993
2016,275000,0,1,0,47000,5,21.1,55.2,-1,814
2016,1950000,1,1,1,48000,5,9,181,-1,1984
2017,850000,1,1,0,60000,5,22.77,98.59,1,1498
2010,150000,0,1,0,80000,5,20.92,67.1,1,998
2010,275000,0,1,0,80000,5,19.81,68.05,1,1086
2017,550000,0,1,0,50000,5,18.6,81.83,1,1197
2019,681000,0,1,0,10000,5,19,94.68,1,1194
2017,850000,1,1,0,110000,7,15.4,75,1,2523
2018,700000,1,1,0,43000,5,27.4,98.63,1,1498
2011,272000,0,1,1,40736,5,16.95,78.9,-1,1197
2016,750000,1,1,1,67600,5,14.81,163.7,1,1998
2017,500000,0,1,0,15000,5,18.16,86.8,1,1196
2016,500000,0,1,0,40000,5,20.85,83.14,1,1197
2011,242000,1,1,0,120000,5,21.5,88.8,1,1248
2015,551000,1,1,0,110000,5,22.77,98.59,1,1498
2019,5800000,1,1,1,7500,5,16.78,190,-1,1995
2017,395000,0,1,0,25000,5,21.63,67,1,998
2015,245000,0,2,0,36710,5,22.74,47.3,1,796
2010,250000,1,2,0,60000,7,14,112,1,2498
2017,421000,0,2,0,59500,5,23.1,67.04,1,998
2015,575000,0,1,0,9599,5,17.8,117.3,-1,1497
2010,254999,0,4,0,80000,5,17,80,1,1197
2018,430000,0,2,0,5000,5,20.63,67,1,1198
2017,483000,0,1,0,15000,5,23.1,67.04,1,998
2018,450000,0,1,0,80000,7,20.62,67,1,1198
2011,260000,1,2,0,110000,5,17.8,68,1,1399
2016,2400000,1,1,1,30000,7,12.62,158,1,2198
2011,400000,1,2,0,100000,5,22.32,126.32,1,1582
2016,630000,0,1,0,50000,5,18.6,81.83,1,1197
2016,925000,1,2,0,48000,7,16,140,1,2179
2017,300000,0,2,0,50000,5,24.7,47.3,1,796
2014,650000,1,1,0,68000,5,22.9,74,1,1248
2013,525000,0,1,0,61500,5,18.5,82.85,-1,1197
2011,210000,1,1,0,215000,5,21,64.1,1,1461
2012,290000,1,2,0,105000,5,19.3,73.9,1,1248
2011,160000,0,1,0,60000,5,19.81,68.05,1,1086
2015,503000,1,1,0,110000,7,14.1,147.94,1,2179
2015,300000,0,3,0,50000,5,20.51,67.04,1,998
2017,600000,1,1,0,24500,5,25.8,98.6,-1,1498
2013,215000,0,1,0,25000,5,20.92,67.1,1,998
2012,200000,0,3,0,80868,5,13.7,88.8,1,1368
2015,1050000,1,1,0,60000,5,21.43,87.2,1,1364
2014,580000,1,1,0,56000,5,22.32,126.3,1,1582
2016,250000,0,2,0,50000,5,24.7,47.3,1,796
2009,240000,1,2,0,70000,5,19.3,73.9,1,1248
2014,280000,1,1,0,100000,5,19.1,70,1,1405
2000,110000,0,4,0,70000,5,17.3,60,1,993
2004,40000,0,1,0,120000,4,16.1,37,1,796
2007,220000,0,3,0,108000,5,13.9,103.2,1,1599
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2015,350000,0,1,0,60000,7,20.62,67,1,1198
2012,869999,1,2,0,225000,8,12.99,100,1,2494
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2016,725000,1,1,0,100000,5,21.38,88.7,1,1396
2018,925000,0,1,0,28900,5,17.8,117.3,-1,1497
2016,660000,1,1,0,55000,5,26.59,74,1,1248
2015,634000,1,1,0,165000,7,18.49,100,1,1493
2007,210000,0,2,0,120000,5,17.7,78,1,1497
2019,925000,1,1,0,40000,7,17.3,121,1,1497
2014,420000,1,2,0,120000,5,23.4,74,1,1248
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2014,221000,1,1,0,65000,5,19.09,69.01,-1,1405
2005,150000,0,1,0,120000,5,13.2,94,1,1495
2007,72000,0,2,0,40000,5,18,62,1,995
2012,200000,0,2,0,70000,5,20.92,67.1,1,998
2008,128000,0,1,0,19000,5,19.7,46.3,1,796
2012,1100000,1,2,1,80000,5,16.07,181,1,1995
2013,409999,1,3,0,100000,5,22.9,74,1,1248
2015,620000,1,2,0,140000,5,20.45,83.8,1,1461
2018,600000,0,1,0,30000,5,17,108.5,1,1198
2006,70000,0,4,0,110000,5,18.9,67.1,1,998
2018,3350000,1,1,1,18000,5,19.62,190,-1,1998
2017,220000,0,1,0,60000,5,22.5,67,1,999
2011,210000,0,2,0,35000,5,20.92,67.1,1,998
2018,260000,0,1,0,50000,5,23.01,67,1,999
2018,450000,0,1,0,35000,5,20.3,84,1,1199
2018,650000,0,1,0,15000,5,18.6,81.83,1,1197
2017,360000,0,1,0,25000,5,23.01,67,1,999
2017,235000,0,1,0,25000,5,22.7,53.64,1,799
2011,385000,1,2,0,120000,8,14,75,1,2523
2018,400000,0,1,0,22000,5,20.3,84,1,1199
2012,290000,0,1,0,27000,5,20.36,78.9,1,1197
2015,600000,0,1,0,28161,5,17.8,117.3,-1,1497
2017,500000,1,1,0,70000,5,25.8,98.6,1,1498
2013,450000,1,2,0,67000,5,28.4,74,-1,1248
2012,195000,0,2,0,35000,5,19,67.1,1,998
2013,190000,0,2,0,60000,5,22.74,47.3,1,796
2007,60000,0,2,0,100000,4,16.1,37,1,796
2012,425000,1,2,0,96000,7,20.77,88.8,1,1248
2018,4600000,1,1,1,6000,5,17.9,170,-1,2143
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2008,250000,1,1,0,200000,7,13.6,63,1,2523
2013,240000,0,2,0,44000,5,20.92,67.1,1,998
2010,300000,0,1,0,22000,5,15,104.68,1,1586
2019,475000,0,1,1,5000,5,21.7,67,1,998
2017,350000,1,1,0,50000,5,25,69.01,1,1396
2018,340000,0,1,0,10000,5,25.17,53.3,1,799
2013,409999,1,2,0,80235,5,28.4,74.02,-1,1248
2010,1750000,1,2,1,110000,7,12.07,241.4,1,2967
2008,160000,0,4,0,70000,8,19.7,35,1,796
2020,919999,0,1,0,20000,5,17,108.5,1,1198
2016,265000,0,1,0,50000,5,25.17,53.3,1,799
2012,375000,1,2,0,100000,5,19.01,108.45,1,1461
2017,300000,0,1,0,35000,5,23.01,67,1,999
2019,550000,0,2,0,30000,5,19.44,75,1,999
2013,550000,1,1,0,70000,5,23.4,74,1,1248
2011,220000,0,3,1,65000,5,12.6,103.3,1,1586
2016,200000,0,1,0,35000,5,22.7,53.64,1,799
2014,400000,0,1,0,50000,5,19.1,85.8,1,1197
2010,250000,0,2,0,80000,5,15.6,70,1,1196
1998,45000,0,4,0,80000,4,16.1,37,1,796
2012,371000,1,1,0,100000,5,19.3,73.9,1,1248
2015,650000,1,1,0,80000,5,26,98.6,1,1498
2011,320000,1,2,0,77000,5,22.07,73.9,1,1199
2014,574000,0,1,1,28080,5,0,103.25,-1,1197
2014,470000,1,1,0,60000,5,23.4,74,1,1248
2004,55000,1,3,0,90000,5,16.8,62,1,1405
2018,358000,0,1,0,44000,7,15.37,73,1,1196
2012,229999,1,1,0,50000,5,17,70,1,1405
2014,750000,1,1,0,101504,5,22.7,89.84,-1,1498
2010,180000,0,1,0,55000,5,19,67.1,1,998
2016,260000,1,1,0,60000,5,19.09,69.01,1,1405
2017,300000,0,1,0,8000,5,21.1,55.2,1,814
2016,335000,0,1,0,17000,5,21.1,55.2,1,814
2017,500000,0,1,0,25000,5,20.14,81.86,1,1197
2009,1025000,1,3,1,120000,7,12.07,241.4,1,2967
2014,415000,1,1,0,146000,5,23.59,67.06,1,1364
2018,500000,0,1,0,120000,5,18.9,81.86,1,1197
2017,1200000,1,1,0,25000,5,19.67,126.2,1,1582
2018,950000,1,1,0,20000,5,23,98.96,1,1498
2012,150000,1,1,0,90000,5,19.09,69,1,1396
2015,270000,0,1,0,43000,5,21.1,55.2,1,814
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2013,1300000,1,2,1,140000,5,18.88,184,1,1995
2012,185000,0,2,0,60000,5,19.7,46.3,1,796
2017,750000,0,1,1,51000,5,19.56,81.8,-1,1197
2011,225000,1,2,0,90000,5,20,68,1,1399
2015,910000,1,1,1,40000,5,17.6,126.2,-1,1582
2017,450000,0,1,0,15000,5,23.84,84,1,1199
2010,275000,1,4,0,80000,5,22.07,73.9,1,1199
2003,45000,0,1,0,58000,4,16.1,37,1,796
2017,650000,0,1,0,20000,5,18.6,81.83,1,1197
2017,520000,0,1,0,40000,5,20.3,84,1,1199
2018,800000,1,1,0,35000,5,28.4,74.02,1,1248
2015,450000,0,1,1,45000,5,15.5,86.7,1,1198
2011,277000,0,1,0,55403,5,18.6,85.8,-1,1197
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2015,650000,1,1,0,80000,5,22.54,88.73,1,1396
2008,830000,1,3,1,60000,5,11,235,1,2993
2017,450000,0,1,0,25000,5,23.84,84,1,1199
2011,200000,0,1,0,50600,5,19.7,46.3,1,796
2009,60000,0,3,0,110000,5,16.5,63,1,995
2017,350000,0,1,0,26263,5,21.1,55.2,1,814
2013,600000,1,1,0,60000,8,12.05,120,1,2179
2010,148000,0,1,0,120000,5,20.92,67.1,1,998
2013,200000,0,1,0,24000,5,22.74,47.3,1,796
2016,550000,0,1,0,56494,5,18.2,88.7,-1,1199
2017,700000,1,1,0,70000,5,25.5,98.6,1,1498
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2016,700000,1,1,0,50000,7,18.49,100,1,1493
2018,801000,0,1,0,20000,5,18.6,81.83,1,1197
2015,250000,0,1,0,52000,5,23.95,67.05,1,998
2011,440000,1,2,0,60000,7,13.6,63,1,2523
2015,650000,1,1,0,70000,7,20.77,88.76,1,1248
2011,195000,0,2,0,46000,5,19.7,46.3,1,796
2014,700000,1,1,0,145241,7,12.05,120,1,2179
2018,1200000,1,1,0,25000,7,15.1,152.87,1,2179
2004,100000,1,2,0,40000,5,16.8,62,1,1405
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2015,610000,1,1,0,90000,5,22.77,98.59,1,1498
2008,190000,1,2,0,180000,5,17.8,67,1,1399
2014,484999,1,1,0,54000,5,23,98.96,-1,1498
2013,700000,1,1,0,76460,5,22.32,126.32,1,1582
2012,280000,1,3,0,105358,5,17.8,67,1,1399
2015,170000,0,3,0,20000,5,22.74,47.3,1,796
2018,320000,0,1,0,15000,5,24.7,47.3,1,796
2016,500000,1,1,0,35000,5,26.59,74,1,1248
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2011,340000,1,1,0,50000,5,19,90,1,1248
2009,250000,0,3,0,68600,5,17,118,1,1497
2017,2700000,0,1,1,16000,5,14.74,181.04,-1,1991
2013,316000,1,1,0,140000,5,21.02,88.76,1,1248
2012,204999,1,2,0,120000,5,19.09,69,1,1396
2017,700000,1,1,0,70000,7,15.96,62.1,1,2523
2018,900000,1,1,0,35000,7,21.04,83.8,1,1461
2017,711000,1,1,0,35000,5,28.4,74.02,1,1248
1994,99000,1,2,0,100000,5,12.8,52,1,1995
2019,420000,0,1,0,30000,5,20.3,68,1,1086
2011,265000,1,1,0,120000,5,21.12,88.8,1,1248
2017,700000,1,1,0,82000,5,24.8,88.7,1,1396
2018,275000,0,1,1,20000,5,23,67,1,999
2012,210000,0,4,0,76000,5,20.36,78.9,1,1197
2016,710000,1,1,0,60000,7,18.06,63,1,2523
2017,1100000,1,1,0,88754,7,16,140,-1,2179
2007,90000,0,2,0,60000,5,18,62,1,995
2014,250000,0,1,0,25000,5,21.1,55.2,1,814
2014,350000,0,1,0,35000,5,20.51,67.04,1,998
2011,180000,1,2,0,120000,5,18.4,75,1,1248
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2010,160000,0,1,0,36659,5,19.7,46.3,1,796
2017,570000,0,1,0,20000,5,18.9,81.86,1,1197
2014,455999,1,1,0,80000,5,19.01,108.45,1,1461
2015,260000,0,1,0,25000,5,22.74,47.3,1,796
2018,1025000,1,1,1,8000,5,21.5,108.5,-1,1497
2016,600000,1,1,0,70000,5,25.2,74,1,1248
2018,640000,0,1,0,6001,5,15.9,120.69,-1,1496
2020,570000,0,1,0,5000,5,21.21,81.8,1,1197
2018,580000,0,1,0,10000,5,23.1,67.04,1,998
2016,1165000,1,1,0,50000,7,16,140,1,1997
2005,110000,0,2,0,45000,5,19.7,46.3,1,796
2011,130000,0,3,0,60000,5,19.7,46.3,1,796
2011,225000,0,1,0,35000,5,15,90,1,1368
2011,250000,0,2,0,36000,5,15.37,73,1,1196
2018,650000,1,1,0,50000,5,28.4,74.02,1,1248
2015,503000,1,1,0,110000,7,14.1,147.94,1,2179
2012,220000,1,2,0,70000,5,25.44,57.6,1,936
2018,889000,1,1,0,20000,5,28.09,88.5,1,1248
2008,450000,1,1,0,78000,7,15.4,120,-1,1997
2011,325000,1,2,0,162000,8,13.6,63,1,2523
2013,484999,1,1,0,50000,5,25.8,98.6,1,1498
2018,950000,1,1,0,27620,5,22.77,98.59,-1,1498
2018,600000,0,1,0,40000,5,18.6,81.83,1,1197
2017,550000,0,1,1,40000,5,20.89,81.8,1,1197
2016,2900000,1,1,1,12000,5,18.12,190,-1,1995
2012,450000,1,1,0,165000,7,15.96,62.1,1,2523
2013,250000,1,1,0,120000,5,23.08,63.1,1,1461
2012,610000,1,1,0,90000,8,12.8,102,1,2494
2011,500000,1,1,0,80000,5,22.32,126.32,1,1582
2015,320000,0,1,0,60000,5,20.51,67.04,1,998
