year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2014,550000,1,1,0,250000,5,23.59,67.04,1,1364
2017,3300000,1,1,1,60000,5,0,194,-1,1950
2015,440000,1,1,0,50000,5,25.8,98.6,1,1498
2019,900000,1,1,0,60000,5,25.1,88.5,1,1248
2014,560000,0,1,0,25000,7,16.02,93.7,1,1373
2018,700000,1,1,0,30000,6,25.32,77,1,1198
2015,300000,1,3,0,95000,5,21.2,75,1,1248
2017,2711000,1,1,1,9000,5,13.6,177,-1,1999
2015,400000,0,2,1,70000,5,18.9,82,1,1197
2004,33351,0,3,0,90000,5,18.9,67.1,1,998
2009,150000,0,4,0,70000,5,19.7,46.3,1,796
2002,140000,0,2,0,50000,5,19.7,46.3,1,796
2015,500000,0,1,0,35000,7,17.3,117.3,1,1497
1999,150000,1,2,0,198000,5,14.8,68,1,1998
2013,260000,0,1,0,26000,5,15.37,73,1,1196
2014,675000,1,1,0,120000,7,12.05,120,1,2179
2019,600000,0,1,1,10000,5,21.21,81.8,1,1197
2018,450000,0,1,0,5000,5,23.84,84,1,1199
2019,1000000,0,1,0,15000,6,19.01,103.2,1,1462
2011,1150000,1,2,0,181000,7,11.5,171,1,2982
2019,720000,0,1,1,16000,5,17.4,81.86,1,1197
2019,4500000,1,1,1,21000,7,12.83,148.31,-1,1999
2014,200000,1,2,0,55896,5,25,69,1,1396
2019,860000,0,1,0,14317,5,14.23,104.55,-1,1498
2014,190000,0,1,0,60000,5,19,67.1,1,998
2011,210000,1,2,0,100000,5,21.1,73.9,1,1248
2015,370000,1,1,0,60000,5,24,70,1,1120
2017,625000,0,1,0,25000,5,22,81.8,1,1197
2014,950000,1,1,0,80000,7,12.99,100.6,-1,2494
2016,625000,0,1,0,54000,5,18.7,88.7,-1,1199
2011,150000,0,4,0,40000,5,0,62,1,1086
2018,1350000,0,1,1,5000,5,14.8,121.3,1,1591
2008,175000,0,1,0,40000,5,0,62,1,1086
2016,550000,1,2,0,60000,5,26.59,74,1,1248
2016,252999,0,1,0,45775,5,23.84,84,-1,1199
2018,400000,0,2,1,30000,5,24.04,67,1,999
2019,655000,0,1,0,25000,5,21.21,81.8,1,1197
2016,645000,0,1,1,11000,5,14.3,103.5,-1,1598
2018,4000000,1,1,1,10000,5,22.48,187.74,-1,1995
2016,380000,1,2,0,80000,5,24.4,71,1,1120
2014,420000,1,1,0,50000,5,22.54,88.73,1,1396
2015,600000,1,1,0,128000,5,26,98.6,-1,1498
2004,70000,0,1,0,150000,5,17.3,60,1,993
2019,595000,0,1,0,14548,5,21.21,81.8,-1,1197
2016,720000,1,1,0,35000,7,15.96,62.1,1,2523
2015,600000,1,2,0,60000,5,13.49,138.03,1,2179
2015,880000,1,2,0,120000,5,19.67,126.2,1,1582
2007,80000,0,2,0,120000,5,13.2,94,1,1495
2011,270000,1,2,0,140000,5,20,108.5,1,1968
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2013,425000,1,1,0,60000,5,21.27,88.76,1,1396
2019,3800000,1,1,1,20000,5,18,190,1,1969
2006,80000,1,2,0,110000,5,20.8,58,1,1527
2014,465000,1,1,0,27233,5,27.4,98.63,-1,1498
2001,30000,0,1,0,10000,5,17.3,60,1,993
2006,200000,0,3,0,178500,5,17.7,78,1,1497
2016,400000,0,2,0,80000,5,18.9,82,1,1197
2020,475000,0,1,0,13000,5,21.63,67.04,1,998
2019,575000,0,1,0,20000,5,19.4,94.93,1,1194
2018,400000,0,1,0,40000,5,23.84,84,1,1199
2013,280000,1,1,0,80000,5,21.02,88.76,1,1248
2008,400000,1,1,0,110000,8,12.7,116.6,1,2609
2013,535000,0,3,0,90000,7,16.02,93.7,1,1373
2007,90000,0,3,0,93000,5,18,62,1,995
2017,300000,0,1,0,30000,5,23.95,67.05,1,998
2018,810000,1,1,0,29700,5,25.1,88.5,1,1248
2014,220000,0,1,0,10000,5,20.3,68.05,1,998
2015,484999,1,1,0,30000,5,25.2,74,1,1248
2012,190000,1,1,0,110000,5,21,75,1,1199
2013,910000,1,2,0,70000,8,12.99,100,1,2494
2008,150000,0,2,0,89000,5,15.6,104.68,1,1586
2010,140000,0,2,0,60000,5,18,62,1,995
2004,75000,0,4,0,46000,4,16.1,37,1,796
2016,645000,0,1,1,11000,5,14.3,103.5,-1,1598
2013,375000,1,4,0,80000,5,23.4,74,1,1248
2008,135000,0,2,0,90000,5,18.9,67.1,1,998
2016,370000,1,1,0,90000,5,19.09,69.01,1,1405
2014,320000,0,2,0,80000,5,20.36,78.9,1,1197
2012,180000,0,1,0,60000,5,18.6,79.4,1,1199
2012,158000,1,2,0,110000,5,19.09,69,1,1396
2015,434999,0,2,0,25000,5,20.85,83.14,1,1197
2018,515000,0,1,0,35000,5,24,83.81,1,1199
2011,225000,0,2,0,76000,5,20.92,67.1,1,998
2017,850000,1,1,0,50000,7,17.6,147.94,1,2179
2015,610000,0,1,0,33000,5,20.73,91.1,1,1373
2015,270000,0,2,0,49900,5,22.74,47.3,1,796
2017,605000,1,1,0,127000,5,28.4,74.02,1,1248
2016,300000,0,1,0,15000,5,23.95,67.05,1,998
2009,90000,0,2,0,50000,5,16,63,1,995
2011,210000,0,2,0,90000,5,18.9,67.1,1,998
2015,1000000,1,1,0,50000,5,19.67,126.2,1,1582
2016,650000,1,2,1,50000,5,26.59,74,1,1248
2020,679000,1,1,0,5000,2,0,70,1,2523
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2011,254999,1,3,0,100000,5,20.3,75,1,1248
2005,60000,0,2,0,90000,5,17.3,60,1,993
2015,875000,1,1,1,72000,5,17.01,126.2,-1,1582
2012,325000,1,2,0,110000,7,15.96,62.1,1,2523
2017,350000,0,1,1,15500,5,23.95,67.1,1,998
2011,140000,1,2,0,200000,5,17,71,1,1405
2008,99000,1,2,0,205000,5,19.09,69,1,1396
2014,550000,0,1,0,30000,5,19.1,85.8,1,1197
2017,675000,1,2,0,70000,7,15.96,62.1,1,2523
2015,975000,1,1,0,100000,7,16,140,1,2179
2010,229999,1,1,0,168000,7,14,112,1,2498
2017,549000,0,1,0,35000,5,17.71,78.9,1,1197
2014,375000,1,3,0,110000,5,23.2,73.94,1,1248
2019,399000,0,1,0,10000,5,23.95,67.05,1,998
2013,355000,1,1,0,170000,5,22.9,74,1,1248
2010,210000,1,1,0,120000,5,21.12,88.8,1,1248
2019,5150000,0,1,1,20000,5,22.37,214.56,-1,2487
2016,400000,0,1,0,30000,5,18.2,82.4,1,1199
2019,1000000,0,1,0,22000,5,17,110,1,1197
2014,1050000,1,2,1,146000,7,13.01,194.3,1,2199
2014,475000,1,2,0,83000,5,22.54,88.73,1,1396
2020,330000,0,2,0,70000,5,18.9,81.86,1,1197
1997,300000,0,2,0,186388,8,14.8,80,1,1298
2014,220000,0,2,0,93000,5,21.1,55.2,1,814
2012,390000,1,1,0,80000,7,13.93,138.03,1,2179
2011,360000,1,4,0,100000,5,13.5,115,1,2179
2012,750000,1,1,0,120000,8,12.05,120,1,2179
2009,180000,0,2,0,87000,5,13.2,94,1,1495
2013,453000,0,2,1,54327,5,17.2,103.6,-1,1197
2015,950000,0,1,1,30000,5,18,117.3,1,1497
2011,325000,1,1,0,79000,5,21.12,88.8,1,1248
2018,725000,1,1,0,15000,5,28.4,74.02,1,1248
2019,675000,0,1,1,5000,5,21.4,83.1,1,1197
2017,640000,1,2,0,35000,5,25.2,74,1,1248
2012,225000,0,1,0,80000,5,18.9,67.1,1,998
2014,470000,1,2,0,70000,5,25.2,74,1,1248
2013,500000,1,1,0,53000,5,22.9,74,1,1248
2013,1050000,1,1,0,7200,8,12.99,100.6,1,2494
2008,285000,0,2,0,60000,5,15.3,99.6,1,1596
2017,1550000,1,1,0,87500,5,17.1,170,1,1956
2019,562000,0,1,0,5000,5,18.9,81.86,1,1197
2019,1075000,1,1,0,23000,7,17.3,121,-1,1497
2010,200000,0,1,0,35000,5,18.9,67.1,-1,998
2015,600000,1,3,0,90000,7,20.77,88.76,1,1248
2017,1050000,1,1,1,46000,7,16,140,1,2179
2018,610000,0,1,0,15000,5,18.6,81.83,1,1197
2013,325000,1,3,0,70000,5,21.9,88.76,1,1396
2016,210000,0,1,0,50000,5,18.6,76.8,1,1199
2017,1100000,0,1,1,20000,5,18,117.6,1,1497
2012,495000,1,2,0,80000,5,19.3,73.9,1,1248
2014,545000,1,1,0,110000,7,20.77,88.76,1,1248
2012,341000,1,1,0,120000,5,19.3,73.9,1,1248
2012,610000,1,1,0,90000,8,12.8,102,1,2494
2018,590000,0,1,0,15000,5,18.16,86.8,1,1196
2010,200000,0,2,0,70000,5,20.36,78.9,1,1197
2011,480000,1,1,0,120000,7,12.8,102,1,2494
2017,525000,0,1,1,19723,5,20.3,84,-1,1199
2017,390000,0,1,0,25000,5,20.51,67.04,1,998
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2017,351000,0,1,0,36000,5,23.1,67.04,1,998
2016,610000,1,1,0,110000,5,24.3,88.5,1,1248
2015,350000,1,1,0,60000,5,22.95,74,1,1248
2017,675000,1,2,0,50000,7,18.2,73.74,1,1248
2018,350000,0,1,0,25000,5,23.01,67,1,999
2020,524000,0,1,0,32000,5,20.14,81.86,1,1197
2014,490000,1,2,0,90000,5,20.45,83.8,1,1461
2020,360000,0,1,0,5000,5,22.05,47.3,1,796
2003,65000,0,4,0,60000,5,17.3,60,1,993
2016,525000,1,1,0,80000,8,18.2,73.74,1,1248
2017,670000,1,1,0,36000,5,27.39,74,1,1248
2019,695000,1,1,0,36800,5,20.14,88,-1,1498
2014,380000,0,1,0,35000,5,20.51,67.04,1,998
2012,260000,1,2,0,70000,5,21.03,65,1,1461
2020,808000,0,1,0,5000,5,18.24,108.6,1,999
2019,700000,0,1,0,4500,5,19.5,88.76,1,1199
2018,450000,1,1,0,90000,5,27.28,69,1,1047
2017,900000,0,1,0,20000,5,17,121.3,1,1591
2013,250000,0,1,0,42130,5,21.1,55.2,1,814
2019,750000,0,1,1,6500,5,21.21,81.8,1,1197
2006,100000,0,1,0,40000,5,19.7,46.3,1,796
2013,350000,0,1,0,70000,5,13.87,86,1,1598
2012,300000,1,2,0,110000,5,21.12,88.8,1,1248
2018,650000,1,1,0,35500,5,28.4,74.02,1,1248
2014,380000,0,2,0,50000,5,18.9,82,1,1197
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2013,420000,1,2,0,105000,5,23.4,74,1,1248
2014,635000,0,1,1,79011,5,18,117.3,-1,1497
2020,480000,1,1,0,44665,6,25.32,77,1,1198
2014,320000,1,1,0,39395,5,21.2,75,1,1248
2015,1000000,1,1,0,50000,8,12.99,100.6,1,2494
2015,600000,1,1,0,100000,5,26.59,74,1,1248
2019,290000,0,1,0,21000,5,25.17,53.3,1,799
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2015,600000,1,1,0,90000,5,27.3,98.6,1,1498
2010,125000,0,3,0,120000,5,19.7,46.3,1,796
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2013,300000,1,2,0,200000,8,20.07,75,1,1461
2012,750000,1,1,0,90000,8,12.8,102,1,2494
2016,351000,0,1,0,60000,5,23.1,67.04,1,998
2016,1898999,1,1,1,46000,5,18.25,187.74,-1,1968
2018,755000,1,1,0,39000,5,28.4,74,-1,1248
2015,270000,0,1,0,40000,5,22.74,47.3,1,796
2018,650000,1,1,0,40000,5,20.14,88,-1,1498
2018,217000,0,1,0,25000,5,22.7,53.64,1,799
2016,550000,0,1,0,56494,5,18.2,88.7,-1,1199
2018,445000,0,1,1,32995,5,20.52,81.8,-1,1197
2015,350000,1,2,0,90000,5,23,88.7,1,1248
2019,925000,1,1,0,50000,7,24.52,88.5,-1,1248
2015,330000,0,1,0,25000,5,17.57,88.7,1,1193
2009,135000,0,1,0,50000,5,19.7,46.3,1,796
2015,200000,0,1,0,50000,5,18.2,82.4,1,1199
2019,690000,0,1,0,1303,5,17.8,86.7,-1,1198
2017,290000,1,1,0,40000,5,25,69,1,1396
2013,172000,0,1,0,120000,5,16.36,93.7,1,1495
2018,730000,0,1,0,2388,5,18.6,81.83,1,1197
2011,750000,1,2,0,291000,7,12.8,102,1,2494
2007,409999,1,4,0,248119,8,12.8,102,1,2494
2017,5850000,1,1,1,47000,5,13.5,282,-1,2987
2011,240000,1,1,0,72000,5,20,68,1,1399
2019,570000,0,1,0,13000,5,18.9,81.86,1,1197
2014,300000,1,1,0,80000,5,20,68.05,1,1399
2013,420000,1,2,0,105000,5,23.4,74,1,1248
2005,310000,1,2,0,200000,8,12.8,102,1,2494
2014,470000,0,1,0,60000,5,19.1,85.8,1,1197
2015,430000,1,2,0,110000,7,18.49,100,1,1493
2015,570000,1,1,0,72000,5,26.59,74,1,1248
2018,670000,1,1,0,93000,5,27.4,98.63,1,1498
2016,390000,0,1,0,15000,5,25.17,53.3,1,799
2016,380000,0,1,0,80000,5,19.81,68.05,1,1086
2012,415000,0,1,0,60000,5,17.7,113.42,-1,1497
2016,595000,1,1,0,131111,5,25.2,74,1,1248
2018,300000,0,1,0,7000,5,22.5,67,1,999
2015,600000,1,1,0,63000,5,22.77,98.59,1,1498
2011,350000,1,1,0,120000,8,13,95,1,2489
2016,400000,1,1,0,110000,5,24.4,71,1,1120
2013,280000,1,3,0,90000,5,22.07,73.9,1,1199
2017,3200000,1,1,1,45000,5,19.33,177,-1,1999
2013,450000,1,1,0,67000,5,23.59,67.1,1,1364
2014,440000,1,2,0,110000,5,13.49,138.03,1,2179
2013,1200000,1,2,1,72500,5,23.3,150,1,1984
2017,500000,1,1,0,80000,5,21.66,108.62,1,1498
2014,490000,1,1,0,100000,5,24.4,71,1,1120
2011,700000,1,2,0,120000,8,12.8,102,1,2494
2016,400000,0,1,0,60000,5,17,73.75,1,1198
2010,275000,1,3,0,110000,5,20.4,91.7,1,1248
2017,300000,0,1,0,10000,5,21.1,55.2,1,814
2014,500000,0,1,0,65000,5,19.1,81.86,1,1197
2017,430000,0,2,0,35000,5,23.84,84,1,1199
2016,649000,1,1,0,70000,5,26.59,74,1,1248
2017,800000,1,1,0,60000,5,23.65,88.5,1,1248
2019,5200000,0,1,1,17000,5,15,194.4,-1,1991
2013,199000,0,2,0,60000,5,20.2,67.1,1,998
2009,300000,0,2,0,100000,5,14.53,138.1,1,1798
2019,500000,0,1,0,5000,5,20.3,68,1,1086
2015,370000,1,1,0,120000,8,18.2,73.8,1,1248
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2010,245000,1,4,0,146000,7,14,112,1,2498
2011,225000,1,2,0,90000,5,20,68,1,1399
2007,138000,0,2,0,120000,5,17.7,78,1,1497
2016,650000,1,2,0,81000,5,28.09,88.5,-1,1248
2011,220000,1,1,0,100000,5,20,68,1,1399
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2017,3200000,1,1,1,45000,5,19.33,177,-1,1999
2011,337000,1,3,0,142000,7,13.7,138.1,1,2179
2015,459999,1,2,0,60000,5,20.5,91.72,1,1248
2012,450000,1,1,0,68240,7,13.93,138.1,-1,2956
2017,325000,0,1,0,38000,5,23.01,67,1,999
2013,250000,1,1,0,80000,5,19.09,69.01,1,1405
2012,180000,0,1,0,70000,5,17.92,62.1,1,1086
2008,150000,1,2,0,120000,5,18.1,110,1,1493
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2017,860000,1,1,1,31000,5,21.66,103.52,-1,1498
2019,1450000,0,1,1,22000,5,16,160,-1,1368
2012,925000,1,2,1,96000,5,19.62,190,-1,1998
2009,250000,1,2,0,105000,5,17.8,75,1,1248
2011,320000,1,3,0,175000,7,13.6,63,1,2523
2010,140000,0,4,0,70000,5,20.36,78.9,1,1197
2011,220000,1,1,0,222300,5,22.07,73.9,1,1199
2017,700000,1,1,0,49957,5,25.83,99,-1,1498
2011,345000,0,1,0,70000,5,17.6,88.7,1,1496
2010,350000,1,2,0,90000,5,23,90,1,1396
2017,844999,1,1,0,70000,5,28.09,88.5,-1,1248
2018,760000,1,1,0,50000,5,27.39,74,1,1248
2004,120000,0,2,0,80000,4,16.1,37,1,796
2017,650000,1,1,0,120000,5,19.87,83.8,1,1461
2014,450000,0,1,0,30000,5,19.1,85.8,1,1197
2017,450000,1,1,0,56290,5,24,73.97,-1,1186
2016,590000,0,1,0,16500,5,18.6,81.83,1,1197
2011,130000,0,2,0,100000,5,19.7,46.3,1,796
2014,850000,1,1,0,120000,7,15.1,140,1,2179
2012,375000,1,1,0,90000,5,20.54,103.6,1,1598
2018,400000,0,1,1,25000,5,24.04,67,1,999
2019,1200000,1,1,0,40000,5,25.6,97.9,1,1498
2012,320000,0,2,0,70000,5,16.95,97.7,1,1498
2011,195000,1,2,0,77395,5,20,68,-1,1399
2018,700000,0,1,0,19100,5,19,94.68,1,1194
2011,150000,0,2,0,70000,5,16.5,65,1,1172
2017,819999,0,1,0,30000,5,17.5,88.7,-1,1199
2004,70000,0,2,0,70000,5,18.9,67.1,1,998
2016,750000,0,1,0,16151,5,17.8,117.3,-1,1497
2016,385000,0,2,0,40000,5,16.2,74,1,1199
2013,250000,1,3,0,120000,5,22.07,73.9,1,1199
2017,615000,0,1,1,40000,5,19,88.7,1,1199
2008,221000,0,1,0,35008,5,21.79,67.05,-1,998
2013,225000,0,1,0,58343,5,21.79,67.05,-1,998
2017,590000,1,1,0,30000,5,25.2,74,1,1248
2014,550000,0,1,0,43011,5,18.88,123.37,-1,999
2014,190000,0,2,0,60000,5,21.1,55.2,1,814
2017,310000,0,1,0,35000,5,24.7,47.3,1,796
2010,110000,0,2,0,60000,5,18.6,79.4,1,1199
2011,170000,1,2,0,70000,5,20,68,1,1399
2013,350000,1,2,0,110000,7,17.21,100,1,1493
2012,270000,1,1,0,80000,5,21.02,88.76,1,1248
2013,800000,1,1,0,80000,7,12.99,100,1,2494
2017,650000,1,1,0,60000,5,28.09,88.5,1,1248
2016,2000000,0,1,1,68089,5,19.16,157.7,-1,2494
2018,1180000,0,1,0,5500,5,17.4,117.6,1,1497
2011,270000,1,2,0,105000,5,21.9,90,1,1396
2019,1100000,1,2,0,50000,7,21.9,98.6,1,1498
2014,317000,1,1,0,15000,7,15.42,70,1,1405
2011,550000,1,2,0,70000,9,12.05,120,1,2179
2002,55000,0,4,0,120000,5,13.2,94,1,1495
2017,750000,1,1,0,100000,7,24.52,88.5,1,1248
2015,575000,1,2,0,57000,5,26.59,74,1,1248
2013,325000,1,2,0,120000,5,20,68.1,1,1399
2014,649000,1,3,0,117000,7,15.1,140,1,2179
2011,450000,0,3,0,80000,5,17,118,1,1497
2012,240000,0,1,0,35000,5,18.9,67.1,1,998
2015,401000,1,2,0,74000,5,24.4,71,1,1120
2011,500000,0,1,0,35000,5,17,118,1,1497
2019,4500000,1,1,1,21000,7,12.83,148.31,-1,1999
2018,390000,0,1,0,13120,5,25.17,53.3,1,799
2014,470000,1,1,0,89000,5,22.9,74,-1,1248
2014,370000,1,1,0,30000,5,23.2,73.94,1,1248
2014,509999,1,2,0,100000,5,22.9,74,1,1248
2013,170000,1,1,0,162500,5,19.4,70,1,1405
2015,750000,1,1,0,160000,5,25.1,98.6,1,1498
2013,450000,1,1,0,70000,7,15.96,62.1,1,2523
2015,1850000,1,2,1,30000,7,12.55,168.5,1,2982
2012,400000,1,2,0,100000,5,20.46,83.8,1,1461
2019,779000,0,1,1,7032,5,19,88.76,-1,1199
2015,575000,1,2,0,110000,8,14.02,118.3,1,2179
2018,500000,0,2,0,20000,5,18.9,81.86,1,1197
2015,1650000,1,2,1,91000,7,12.55,168.5,-1,2982
2014,320000,0,1,0,15000,5,20.36,78.9,1,1197
2009,125000,0,2,0,50000,5,18.9,67,1,1061
2018,698000,1,1,1,27654,5,28.4,74.02,-1,1248
2017,500000,1,2,0,80000,5,23.08,63.1,1,1461
2010,300000,1,1,0,108957,7,13.93,138,1,2179
2016,240000,0,1,0,50000,5,22.74,47.3,1,796
2016,1859000,1,2,1,40000,5,19.7,134.1,1,2143
2009,280000,1,1,0,120000,5,18.1,110,1,1493
2013,910000,1,2,0,110000,7,12.99,100,1,2494
2015,465000,0,1,1,63063,5,18.9,82,-1,1197
2013,409999,1,2,0,90000,5,22.9,74,1,1248
2016,386000,0,2,0,44000,5,19.1,82,1,1197
2015,650000,1,1,0,80000,7,20.77,88.8,1,1248
2019,650000,0,1,1,33000,5,21.21,81.8,1,1197
2016,426000,0,1,0,110000,6,18.15,82,1,1198
2018,900000,1,1,0,12000,6,16.55,105,-1,2498
2015,1900000,1,1,1,130000,7,12.55,168.5,1,2982
2016,540000,0,1,0,38000,5,18.6,81.83,1,1197
2014,351000,0,1,0,25000,5,20.36,78.9,1,1197
2020,830000,1,1,0,120000,7,15.1,152.87,1,2179
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2015,300000,0,1,0,10000,5,25.17,53.3,1,799
2011,90000,0,2,0,90000,5,15.64,64.08,1,1193
2011,280000,0,1,0,96000,5,16.95,97.7,1,1498
2018,490000,0,1,0,28000,5,16.1,85,-1,1197
2015,400000,1,1,0,110000,7,14.95,93.7,1,2489
2015,650000,1,1,0,80000,5,22.54,88.73,1,1396
2010,160000,0,3,0,100000,5,20.92,67.1,1,998
2009,142000,0,1,0,110000,5,20.36,78.9,1,1197
2018,450000,0,1,0,56000,5,18.9,81.86,1,1197
2016,511000,1,1,0,80000,5,22.54,88.73,1,1396
2013,520000,1,1,0,58000,5,23.4,74,1,1248
2018,740000,1,1,0,38817,5,27.39,74,-1,1248
2014,521000,1,2,0,86000,7,14,138.1,1,2179
2016,400000,0,1,0,80000,5,18.9,82,1,1197
2017,775000,1,1,0,32000,5,24.3,88.5,-1,1248
2011,365000,1,2,0,185000,5,21.43,87.2,1,1364
2014,599000,0,1,0,46100,7,16.02,93.7,-1,1373
2017,670000,1,1,0,50000,5,27.3,98.6,1,1498
2018,545000,0,1,1,10000,5,23.1,67.04,-1,998
2015,600000,1,1,0,50000,5,26.59,74,1,1248
2011,350000,1,1,0,156000,7,11.57,138.1,1,2179
2017,710000,1,1,0,50000,7,24.52,88.5,1,1248
2013,650000,1,2,0,120000,5,19.01,108.45,1,1461
2016,750000,1,1,0,80000,7,24.52,88.5,1,1248
2015,550000,1,3,0,40000,5,28.09,88.5,1,1248
2019,490000,0,1,0,33928,5,23.84,84.48,-1,1199
2006,110000,0,3,0,120000,5,19.7,46.3,1,796
2014,425000,1,1,0,50000,5,23.59,67.06,1,1364
2018,250000,1,1,0,110000,5,25,69,1,1396
2017,483000,0,1,0,15000,5,23.1,67.04,1,998
2012,195000,0,2,0,80000,5,21.1,55.2,1,814
2013,450000,1,2,0,120000,7,20.77,88.76,1,1248
2016,565000,0,1,1,72000,5,19.1,82,-1,1197
2016,385000,0,1,0,20000,7,20.62,67,1,1198
2018,610000,0,1,0,10000,5,18.9,81.86,1,1197
2016,780000,1,1,0,60000,5,22.77,98.59,-1,1498
2015,550000,1,2,0,50000,5,28.09,88.5,-1,1248
2017,630000,0,1,0,35000,5,21.4,83.1,1,1197
2018,900000,0,1,0,35000,5,17.5,88.7,1,1199
2019,5500000,1,1,1,8500,5,16.78,190,-1,1995
2006,100000,0,2,1,100000,5,16,64,1,1061
2014,525000,1,1,0,200000,9,15.96,62.1,1,2523
2017,370000,0,1,0,40000,5,20.89,81.8,1,1197
2014,450000,1,1,0,80000,5,23.4,74,1,1248
2015,700000,0,1,0,25000,5,17.01,121.4,1,1591
2017,625000,0,1,0,25538,5,16.78,88.73,-1,1496
2015,360000,1,1,0,120000,5,24.4,71,1,1120
2011,160000,0,2,0,25000,5,19.7,46.3,1,796
2018,550000,1,1,0,120000,5,28.4,74.02,1,1248
2005,140000,1,3,0,90000,5,16.1,70,1,1405
2012,200000,1,1,0,90000,5,23.57,70,1,1396
2014,190000,1,2,0,110000,5,19.09,69.01,1,1405
2015,290000,0,1,0,15200,5,25.17,53.3,1,799
2013,250000,0,1,0,27000,5,20.92,67.1,1,998
2015,484999,1,1,0,75000,5,19.87,83.8,-1,1461
2012,200000,0,1,0,30078,5,15.3,70,-1,1396
2014,459999,0,2,0,40523,5,18.5,82.85,-1,1197
2013,455999,0,1,0,35582,5,18.5,82.85,-1,1197
2017,570000,1,1,0,120000,5,26.59,74,1,1248
2016,875000,1,1,0,40000,5,22.54,88.73,1,1396
2016,850000,1,1,0,120000,5,23.9,126.32,1,1582
2010,320000,1,1,0,42000,5,23.03,69,1,1396
2012,150000,0,1,0,76000,4,16.1,37,1,796
2017,1250000,1,1,0,60000,7,16,140,1,2179
2013,455000,1,1,0,98000,5,20.5,103.5,1,1598
2013,290000,1,1,0,90000,5,23.08,63.12,1,1461
2003,55000,0,2,0,167000,5,18.9,67.1,1,998
2017,860000,0,1,0,28000,5,17.8,117.3,1,1497
2013,3750000,1,1,1,56000,4,11.2,241,-1,2993
2011,130000,0,1,0,68519,5,16.2,62.1,-1,995
2019,3800000,1,1,1,20000,5,18,190,1,1969
2013,420000,1,3,0,69000,5,22.32,126.32,1,1582
2013,320000,0,2,0,31377,5,18.5,82.85,1,1197
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2013,300000,1,4,0,120000,5,22.9,74,1,1248
2015,200000,1,1,0,40000,5,25.44,56.3,1,936
2017,390000,0,1,0,20000,5,23.84,84,1,1199
2011,320000,1,1,0,155000,5,23,90,1,1396
2017,860000,1,2,0,40000,5,22,126.2,1,1582
2019,5150000,0,1,1,20000,5,22.37,214.56,-1,2487
2016,2100000,1,1,1,80000,7,10.91,197,1,3198
2013,450000,1,2,0,146000,7,15.96,62.1,1,2523
2013,345000,0,2,0,120000,5,18.5,82.85,1,1197
2016,600000,1,1,0,60000,9,15.96,63,1,2523
2018,319000,0,1,1,30000,5,24.04,67,1,999
2019,710000,1,1,0,30000,7,15.96,62.1,1,2523
2019,950000,1,1,0,15000,5,22.1,88.7,1,1396
2008,150000,0,3,0,70000,5,17.7,78,1,1497
2018,590000,0,1,0,10000,5,18.9,81.86,1,1197
2009,340000,1,2,0,214000,5,16.8,110,1,1493
2014,1019999,1,2,0,88000,7,12.99,100.6,1,2494
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2018,700000,1,1,0,45000,5,28.4,74.02,1,1248
2012,476999,1,4,0,90000,5,21.43,87.2,1,1364
2011,300000,1,2,0,265000,5,20.86,75,1,1199
2019,960000,0,1,0,20000,5,17,108.6,1,1197
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2012,180000,0,2,0,110000,5,13.87,75,1,1390
2008,150000,0,4,0,100000,5,15,104.68,1,1586
2019,500000,0,1,0,20000,5,19.44,75,1,999
2014,390000,1,2,0,90000,5,22.9,74,1,1248
2015,530000,1,1,0,120000,5,25.2,74,1,1248
2015,630000,1,1,0,135000,5,25.1,98.6,1,1498
2017,360000,0,1,0,80000,5,20.51,67.04,1,998
2016,730000,1,2,0,65100,7,18.49,100,1,1493
2011,300000,0,1,0,30000,5,19.81,68.05,1,1086
2010,169000,0,2,0,100000,5,15,90,1,1368
2015,325000,0,1,0,50000,5,17.57,88.7,1,1193
2013,750000,1,2,0,79328,7,12.99,100.6,-1,2494
2011,200000,1,3,0,120000,5,21,64.1,1,1461
2011,215000,0,3,0,100000,5,20.36,78.9,1,1197
2013,600000,1,1,0,91000,7,15.1,140,1,2179
2019,310000,0,1,0,25000,5,25.17,53.3,1,799
2019,700000,0,1,0,6500,7,20,72,1,999
2016,750000,0,1,0,20000,7,17.5,91.1,1,1373
2014,300000,1,1,0,60000,5,24,70,1,1120
2015,600000,1,1,0,80000,7,15.96,62.1,1,2523
2016,520000,0,1,0,29000,5,18.6,81.83,1,1197
2018,900000,1,1,0,35000,6,16.55,105,1,2498
